SENSORID;SAMPLEID;DETECTORTYPE;DATEDARK;DATEREF;DATESMPL;AVERAGECOUNT;CORRTEMPH;GLITCH;REDGAIN;REDOFFSET;DARK;T_SRC;T_DCT;T_DCTPCB;T_SMPL;VSRC;ISRC;TREAT
FQBA-002-0642;FQBA-002-0642 ABFACO__Z03127.1.230531-110129;14272;31/05/2023 10:18:00;31/05/2023 10:18:13;31/05/2023 11:01:29;41;0;100;1;0;41.1490950639518;24.97598;24.60055;24.3125;25.41276;4007.438;102.4563;128
LAMBDAS;1350;1351;1352;1353;1354;1355;1356;1357;1358;1359;1360;1361;1362;1363;1364;1365;1366;1367;1368;1369;1370;1371;1372;1373;1374;1375;1376;1377;1378;1379;1380;1381;1382;1383;1384;1385;1386;1387;1388;1389;1390;1391;1392;1393;1394;1395;1396;1397;1398;1399;1400;1401;1402;1403;1404;1405;1406;1407;1408;1409;1410;1411;1412;1413;1414;1415;1416;1417;1418;1419;1420;1421;1422;1423;1424;1425;1426;1427;1428;1429;1430;1431;1432;1433;1434;1435;1436;1437;1438;1439;1440;1441;1442;1443;1444;1445;1446;1447;1448;1449;1450;1451;1452;1453;1454;1455;1456;1457;1458;1459;1460;1461;1462;1463;1464;1465;1466;1467;1468;1469;1470;1471;1472;1473;1474;1475;1476;1477;1478;1479;1480;1481;1482;1483;1484;1485;1486;1487;1488;1489;1490;1491;1492;1493;1494;1495;1496;1497;1498;1499;1500;1501;1502;1503;1504;1505;1506;1507;1508;1509;1510;1511;1512;1513;1514;1515;1516;1517;1518;1519;1520;1521;1522;1523;1524;1525;1526;1527;1528;1529;1530;1531;1532;1533;1534;1535;1536;1537;1538;1539;1540;1541;1542;1543;1544;1545;1546;1547;1548;1549;1550;1551;1552;1553;1554;1555;1556;1557;1558;1559;1560;1561;1562;1563;1564;1565;1566;1567;1568;1569;1570;1571;1572;1573;1574;1575;1576;1577;1578;1579;1580;1581;1582;1583;1584;1585;1586;1587;1588;1589;1590;1591;1592;1593;1594;1595;1596;1597;1598;1599;1600;1601;1602;1603;1604;1605;1606;1607;1608;1609;1610;1611;1612;1613;1614;1615;1616;1617;1618;1619;1620;1621;1622;1623;1624;1625;1626;1627;1628;1629;1630;1631;1632;1633;1634;1635;1636;1637;1638;1639;1640;1641;1642;1643;1644;1645;1646;1647;1648;1649;1650
REFERENCE;9861.75609756098;9859.41463414634;9855.87804878049;9852.0487804878;9846.60975609756;9840.46341463415;9832.87804878049;9825.58536585366;9818;9808.70731707317;9799.46341463415;9790.92682926829;9783.39024390244;9775.85365853659;9768.31707317073;9762.92682926829;9757.60975609756;9753.39024390244;9749.68292682927;9747.0487804878;9745.9756097561;9744.56097560976;9744.43902439024;9744.9756097561;9745.41463414634;9745.85365853659;9745.70731707317;9745.21951219512;9744.63414634146;9743.14634146341;9740.92682926829;9739.26829268293;9736.39024390244;9733.53658536585;9731.80487804878;9729.24390243902;9727.41463414634;9725.0487804878;9722.0487804878;9718.48780487805;9715.19512195122;9711.19512195122;9706.87804878049;9702.07317073171;9698.73170731707;9694.68292682927;9691.26829268293;9689.17073170732;9686.9756097561;9686.36585365854;9685.46341463415;9685.75609756098;9687.34146341463;9688.78048780488;9691.36585365854;9694.07317073171;9697.41463414634;9700.87804878049;9704.60975609756;9708.36585365854;9713.14634146341;9717.36585365854;9721.73170731707;9726.31707317073;9730;9733.87804878049;9736.90243902439;9740.12195121951;9742.39024390244;9744.68292682927;9746.87804878049;9749.0243902439;9751.39024390244;9753.82926829268;9756.9512195122;9759.90243902439;9762.65853658537;9766.31707317073;9769.24390243902;9772.9756097561;9776.09756097561;9779.68292682927;9783.14634146341;9787.07317073171;9791.0487804878;9795.58536585366;9801.12195121951;9806.85365853659;9812.70731707317;9819.14634146341;9825.36585365854;9832.48780487805;9840.0243902439;9847.65853658537;9856.68292682927;9866.24390243902;9875.9756097561;9886.53658536585;9897.12195121951;9908.82926829268;9920.56097560976;9932.51219512195;9945.12195121951;9957;9970.58536585366;9983.51219512195;9995.9512195122;10009.8048780488;10021.8292682927;10034.6097560976;10047.1951219512;10059.2682926829;10070.9024390244;10083.1219512195;10094.512195122;10105.243902439;10116.487804878;10127.0975609756;10137.512195122;10148.0975609756;10159.0487804878;10169.3902439024;10179.9512195122;10190;10201.1463414634;10211.756097561;10222.1219512195;10233.243902439;10244.8292682927;10255.7073170732;10267.243902439;10279.5365853659;10292.0487804878;10305.7073170732;10319.3902439024;10333.2682926829;10348.1707317073;10363.512195122;10379.1219512195;10394.8048780488;10410.9268292683;10427;10443.756097561;10461.487804878;10478.3902439024;10495.487804878;10511.512195122;10527.6097560976;10543.5609756098;10558.8048780488;10573.2682926829;10587.5609756098;10601.8780487805;10615.2926829268;10629;10642.0243902439;10654.9756097561;10668.0731707317;10681.7804878049;10694.5853658537;10707.5853658537;10721.0243902439;10734.8048780488;10748.5853658537;10762.9024390244;10777.9756097561;10792.512195122;10809.0487804878;10825.5853658537;10841.8048780488;10859.0487804878;10876.4390243902;10895.1463414634;10914.3170731707;10933.5609756098;10953.3902439024;10974.487804878;10996.0731707317;11018.2682926829;11040.4146341463;11064.0731707317;11088.0975609756;11111.8780487805;11136.0731707317;11161.2682926829;11185.7804878049;11210.2195121951;11234.5853658537;11259.756097561;11282.7804878049;11307.3658536585;11330.1463414634;11353.487804878;11376.0243902439;11399.0487804878;11420.7317073171;11442.9756097561;11465.1707317073;11487.4146341463;11509.0243902439;11531.756097561;11554.9512195122;11577.9268292683;11601.6829268293;11626.5853658537;11651.9268292683;11678.4634146341;11705.5609756098;11734.3170731707;11763.512195122;11793.3414634146;11824.4634146341;11856.0487804878;11887.6097560976;11919.4146341463;11951.3658536585;11983.6097560976;12015.9756097561;12047.756097561;12079.6585365854;12111.0487804878;12142.512195122;12173.7317073171;12203.5853658537;12234.0487804878;12264.0731707317;12293.4146341463;12322.243902439;12350.5609756098;12378.8048780488;12407.2682926829;12435.2926829268;12462.7804878049;12491.2195121951;12518.2926829268;12545.6829268293;12573.5365853659;12600.4390243902;12627.3414634146;12654.3414634146;12682.0243902439;12709.2682926829;12736.6585365854;12763.8780487805;12791.8048780488;12819.8048780488;12847.6341463415;12876.6341463415;12905.6829268293;12934.8780487805;12964.3658536585;12994.8292682927;13025.4634146341;13056.4146341463;13088.3902439024;13121;13153.8536585366;13186.9756097561;13221.1463414634;13255.1951219512;13290.0243902439;13325.4634146341;13361.1951219512;13397.3414634146;13433.243902439;13469.3658536585;13505.8536585366;13541.8048780488;13578.3414634146;13614.5853658537;13650.9756097561;13686.6585365854;13723.8536585366;13759.7804878049;13796.756097561;13833.1707317073;13869.5365853659;13906.6341463415;13944.0487804878;13980.2926829268;14017.0487804878;14053.5365853659;14090.7317073171;14126.6829268293;14162.0487804878;14197.3902439024;14232.9512195122;14267.6829268293;14301.4146341463;14336.1463414634;14369.8048780488;14403.8292682927;14437.0487804878;14469.8292682927;14503.5609756098;14535.9268292683;14568.3414634146;14600.6585365854;14632.2195121951;14664;14695.7804878049
1;8152;8120;8087;8047;8004;7959;7913;7860;7810;7763;7706;7650;7601;7540;7479;7423;7364;7296;7235;7169;7103;7043;6980;6911;6840;6772;6706;6638;6568;6493;6422;6353;6284;6212;6140;6071;5999;5934;5863;5810;5763;5721;5700;5686;5687;5697;5714;5733;5753;5773;5787;5800;5800;5800;5790;5776;5759;5737;5715;5689;5662;5642;5622;5606;5599;5596;5600;5606;5616;5629;5642;5655;5669;5684;5700;5714;5728;5745;5759;5775;5791;5808;5830;5851;5874;5900;5930;5958;5991;6025;6063;6096;6134;6178;6220;6262;6308;6356;6407;6454;6508;6563;6615;6663;6713;6763;6811;6857;6905;6949;6989;7030;7073;7110;7150;7190;7228;7264;7301;7339;7376;7409;7447;7481;7520;7555;7587;7624;7662;7698;7730;7766;7806;7841;7880;7916;7953;7985;8021;8058;8091;8123;8158;8191;8221;8252;8285;8311;8340;8365;8392;8417;8441;8465;8490;8516;8538;8559;8579;8601;8620;8641;8663;8683;8702;8720;8739;8757;8774;8793;8812;8832;8852;8869;8889;8910;8931;8951;8974;8996;9020;9044;9070;9092;9119;9143;9170;9200;9227;9256;9285;9318;9347;9382;9411;9441;9472;9499;9530;9559;9585;9610;9635;9659;9684;9711;9736;9760;9786;9813;9837;9863;9889;9914;9937;9961;9986;10007;10030;10052;10076;10098;10124;10152;10174;10203;10227;10255;10280;10304;10331;10355;10377;10398;10415;10435;10452;10470;10485;10499;10513;10527;10539;10550;10562;10569;10579;10584;10589;10594;10600;10601;10601;10600;10597;10592;10588;10586;10578;10573;10566;10562;10557;10553;10548;10545;10538;10532;10525;10518;10506;10493;10478;10458;10438;10415;10391;10364;10336;10307;10277;10247;10214;10182;10148;10111;10073;10033;9988;9937;9885;9828;9763;9695;9620;9537;9451;9359;9260;9156;9048
2;8154;8119;8087;8048;8007;7959;7912;7863;7811;7764;7706;7652;7603;7539;7481;7422;7366;7296;7232;7170;7107;7043;6977;6914;6838;6773;6707;6639;6571;6493;6423;6355;6284;6212;6140;6072;6002;5932;5863;5808;5762;5721;5698;5688;5687;5696;5713;5734;5755;5775;5788;5796;5800;5798;5790;5775;5757;5737;5713;5689;5662;5643;5623;5607;5600;5594;5598;5604;5616;5631;5643;5656;5670;5685;5699;5713;5728;5743;5758;5775;5789;5808;5829;5849;5873;5902;5928;5958;5989;6024;6060;6096;6135;6178;6219;6257;6307;6356;6405;6454;6508;6560;6614;6666;6716;6765;6812;6858;6904;6949;6989;7031;7073;7112;7149;7189;7228;7263;7304;7340;7375;7409;7449;7483;7518;7553;7589;7623;7659;7700;7733;7768;7805;7841;7878;7916;7953;7986;8025;8058;8091;8124;8159;8192;8223;8252;8284;8310;8339;8368;8395;8418;8441;8464;8489;8511;8536;8557;8582;8601;8622;8643;8661;8680;8700;8719;8736;8755;8775;8796;8814;8831;8851;8869;8891;8909;8933;8953;8975;8995;9022;9044;9070;9094;9120;9146;9172;9200;9227;9258;9285;9316;9348;9378;9410;9445;9472;9502;9530;9557;9585;9612;9634;9662;9685;9709;9734;9762;9787;9813;9840;9863;9891;9914;9940;9963;9985;10008;10031;10055;10077;10099;10125;10148;10176;10201;10229;10253;10279;10305;10330;10357;10378;10396;10419;10436;10454;10470;10485;10501;10514;10527;10538;10551;10561;10569;10578;10587;10591;10595;10597;10601;10602;10599;10597;10593;10590;10583;10579;10575;10566;10563;10557;10552;10550;10543;10537;10533;10525;10517;10506;10493;10475;10459;10438;10417;10390;10365;10338;10309;10279;10248;10215;10182;10149;10113;10074;10034;9987;9938;9885;9826;9765;9694;9619;9537;9451;9359;9260;9156;9048
3;8152;8119;8085;8048;8003;7958;7915;7864;7810;7766;7707;7652;7602;7541;7482;7425;7366;7297;7232;7168;7107;7041;6978;6911;6841;6773;6704;6637;6572;6496;6426;6356;6283;6213;6141;6069;6001;5933;5863;5809;5761;5720;5699;5687;5685;5696;5712;5733;5756;5775;5788;5797;5801;5798;5789;5778;5759;5736;5713;5688;5664;5642;5623;5609;5598;5596;5598;5607;5619;5628;5643;5659;5672;5687;5698;5711;5727;5744;5759;5772;5790;5811;5830;5851;5874;5900;5930;5961;5992;6028;6062;6099;6134;6178;6219;6260;6307;6355;6405;6457;6506;6561;6614;6664;6715;6765;6812;6860;6902;6946;6988;7030;7070;7113;7150;7189;7225;7264;7302;7340;7374;7411;7447;7482;7518;7554;7590;7626;7660;7696;7734;7767;7805;7840;7879;7916;7951;7989;8021;8058;8091;8123;8157;8189;8222;8253;8283;8310;8338;8366;8390;8418;8441;8466;8491;8513;8535;8559;8579;8601;8620;8643;8664;8682;8699;8719;8738;8756;8777;8794;8814;8832;8850;8869;8890;8913;8929;8951;8977;8999;9021;9045;9068;9095;9120;9145;9174;9197;9227;9254;9285;9316;9350;9379;9413;9441;9475;9500;9532;9557;9582;9609;9635;9658;9686;9710;9735;9761;9788;9812;9838;9864;9890;9915;9939;9962;9986;10007;10031;10054;10074;10099;10123;10149;10176;10203;10228;10254;10282;10305;10332;10354;10375;10397;10417;10436;10453;10470;10486;10501;10516;10527;10540;10550;10561;10571;10578;10584;10590;10595;10598;10602;10599;10600;10598;10594;10589;10585;10578;10572;10570;10563;10559;10551;10547;10544;10539;10534;10527;10517;10506;10495;10477;10459;10439;10415;10390;10366;10337;10308;10278;10247;10217;10184;10149;10112;10073;10032;9988;9939;9886;9827;9764;9695;9619;9539;9450;9359;9261;9157;9049
4;8154;8123;8085;8050;8005;7960;7915;7861;7808;7767;7711;7650;7602;7541;7479;7427;7363;7299;7232;7172;7106;7043;6977;6912;6839;6773;6705;6639;6570;6496;6422;6353;6285;6213;6143;6071;6001;5932;5864;5807;5761;5722;5697;5686;5686;5695;5711;5734;5754;5772;5788;5798;5801;5797;5791;5777;5760;5738;5713;5691;5665;5642;5622;5606;5597;5594;5597;5607;5618;5630;5642;5656;5669;5684;5699;5712;5729;5743;5761;5774;5789;5809;5829;5849;5873;5900;5929;5959;5991;6025;6061;6097;6136;6177;6217;6259;6307;6358;6408;6454;6506;6561;6615;6663;6713;6762;6811;6859;6903;6947;6992;7030;7072;7114;7148;7187;7228;7265;7303;7338;7374;7410;7447;7483;7518;7553;7588;7625;7660;7698;7731;7767;7807;7843;7878;7919;7951;7987;8022;8060;8094;8125;8158;8191;8221;8252;8282;8313;8338;8366;8393;8418;8441;8468;8491;8512;8535;8557;8580;8603;8621;8641;8664;8680;8700;8721;8737;8756;8774;8794;8812;8833;8851;8869;8890;8910;8930;8953;8972;8997;9019;9044;9068;9093;9118;9144;9171;9199;9228;9256;9287;9316;9346;9378;9412;9442;9472;9501;9531;9557;9584;9610;9635;9660;9683;9709;9734;9759;9785;9812;9838;9866;9889;9916;9938;9961;9985;10008;10033;10054;10076;10100;10125;10149;10173;10201;10228;10254;10280;10306;10332;10354;10376;10397;10418;10439;10455;10470;10484;10499;10512;10527;10539;10551;10560;10569;10578;10585;10591;10597;10599;10598;10600;10600;10599;10594;10591;10585;10579;10573;10567;10562;10556;10553;10548;10543;10538;10532;10525;10516;10505;10493;10476;10459;10440;10416;10391;10365;10337;10309;10278;10249;10215;10183;10151;10113;10074;10032;9988;9938;9886;9828;9763;9695;9618;9537;9451;9359;9261;9159;9049
5;8157;8122;8084;8051;8004;7962;7912;7863;7809;7764;7707;7654;7604;7543;7480;7424;7365;7297;7231;7173;7106;7041;6977;6911;6843;6775;6704;6641;6570;6494;6424;6354;6286;6215;6142;6070;6000;5933;5866;5810;5761;5722;5698;5686;5685;5698;5711;5735;5755;5774;5790;5796;5801;5797;5792;5776;5758;5740;5714;5690;5663;5641;5624;5609;5598;5597;5598;5607;5618;5629;5645;5657;5671;5684;5698;5711;5729;5743;5759;5773;5791;5809;5829;5850;5874;5899;5929;5959;5989;6025;6061;6096;6137;6177;6217;6260;6309;6358;6405;6455;6506;6560;6616;6664;6713;6763;6811;6857;6902;6947;6990;7030;7070;7113;7151;7190;7227;7262;7302;7339;7375;7410;7448;7485;7518;7554;7589;7623;7660;7696;7732;7769;7806;7841;7878;7916;7954;7985;8022;8058;8092;8127;8156;8190;8222;8254;8283;8311;8337;8366;8392;8417;8444;8466;8489;8513;8535;8558;8579;8601;8623;8642;8661;8682;8699;8718;8738;8756;8775;8792;8813;8831;8850;8872;8890;8911;8929;8953;8975;8997;9020;9045;9069;9094;9119;9144;9173;9198;9227;9254;9285;9318;9349;9379;9412;9442;9472;9501;9530;9557;9583;9610;9637;9660;9685;9711;9734;9759;9785;9811;9837;9863;9889;9912;9938;9963;9985;10010;10032;10053;10076;10102;10125;10151;10176;10202;10227;10257;10280;10305;10328;10354;10376;10397;10418;10435;10453;10470;10486;10500;10513;10529;10539;10550;10560;10570;10578;10586;10590;10595;10600;10601;10599;10601;10597;10594;10587;10586;10578;10572;10567;10562;10558;10554;10548;10545;10539;10532;10526;10517;10507;10493;10479;10458;10438;10416;10391;10364;10337;10309;10278;10247;10215;10183;10148;10113;10075;10033;9989;9941;9885;9829;9765;9694;9621;9539;9451;9359;9261;9156;9050
6;8153;8120;8086;8046;8005;7957;7914;7862;7808;7766;7709;7650;7604;7542;7479;7425;7365;7298;7235;7170;7105;7043;6980;6913;6843;6774;6704;6638;6570;6496;6422;6353;6284;6215;6141;6072;6000;5935;5866;5810;5763;5721;5701;5687;5688;5697;5714;5732;5753;5773;5790;5797;5801;5799;5790;5776;5760;5738;5715;5689;5665;5641;5624;5607;5598;5596;5601;5606;5617;5629;5643;5657;5671;5685;5699;5712;5727;5745;5760;5775;5791;5809;5831;5853;5875;5900;5931;5959;5990;6025;6063;6096;6134;6177;6220;6262;6308;6354;6405;6456;6506;6561;6616;6662;6713;6762;6812;6858;6902;6948;6989;7029;7071;7112;7152;7190;7226;7263;7301;7338;7377;7410;7447;7481;7521;7556;7587;7624;7662;7697;7731;7768;7806;7841;7879;7916;7953;7986;8021;8058;8092;8123;8159;8191;8221;8253;8285;8311;8341;8364;8393;8417;8441;8466;8489;8516;8536;8559;8579;8602;8621;8643;8663;8682;8700;8720;8740;8758;8775;8793;8813;8831;8852;8868;8889;8910;8932;8951;8974;8997;9019;9044;9068;9094;9118;9143;9172;9200;9228;9258;9287;9316;9347;9381;9411;9442;9471;9500;9530;9560;9584;9610;9635;9660;9683;9709;9736;9760;9786;9812;9838;9864;9889;9914;9938;9961;9985;10007;10030;10054;10076;10099;10124;10149;10174;10203;10227;10252;10279;10305;10330;10356;10378;10399;10416;10435;10454;10470;10485;10499;10513;10526;10538;10551;10562;10569;10580;10587;10592;10596;10600;10600;10602;10601;10597;10595;10589;10584;10580;10574;10567;10561;10557;10552;10550;10544;10539;10533;10526;10516;10507;10492;10477;10459;10439;10418;10393;10366;10337;10309;10280;10249;10216;10182;10149;10112;10074;10033;9988;9939;9887;9830;9764;9696;9618;9539;9453;9359;9261;9157;9051
7;8153;8121;8088;8048;8009;7959;7913;7865;7811;7765;7708;7652;7602;7541;7481;7425;7365;7298;7233;7171;7105;7045;6978;6916;6840;6773;6708;6639;6571;6495;6424;6354;6285;6213;6141;6073;6002;5934;5865;5809;5764;5722;5698;5688;5688;5697;5714;5733;5756;5774;5788;5800;5800;5798;5790;5775;5758;5739;5716;5689;5663;5643;5622;5607;5600;5595;5599;5605;5617;5632;5641;5656;5670;5684;5700;5715;5729;5744;5759;5777;5790;5808;5829;5849;5873;5902;5929;5959;5990;6025;6061;6096;6135;6177;6220;6259;6307;6357;6406;6454;6508;6563;6614;6664;6713;6762;6811;6857;6905;6950;6991;7031;7071;7111;7149;7188;7229;7263;7302;7341;7376;7410;7450;7483;7517;7552;7589;7623;7660;7700;7732;7767;7805;7841;7877;7916;7951;7986;8024;8057;8091;8125;8159;8193;8223;8251;8284;8310;8339;8367;8395;8419;8441;8466;8489;8513;8536;8556;8582;8601;8621;8642;8661;8680;8701;8719;8736;8756;8775;8795;8814;8831;8851;8870;8891;8910;8932;8952;8977;8996;9021;9044;9070;9094;9121;9146;9172;9200;9227;9256;9286;9316;9348;9379;9411;9445;9472;9501;9530;9558;9585;9611;9635;9661;9686;9709;9733;9762;9789;9814;9840;9863;9890;9914;9940;9963;9985;10008;10031;10056;10077;10100;10124;10150;10178;10201;10229;10254;10281;10304;10330;10355;10376;10396;10419;10437;10453;10472;10485;10502;10516;10528;10541;10551;10559;10570;10577;10585;10592;10594;10599;10601;10600;10599;10597;10594;10590;10585;10577;10573;10569;10563;10559;10553;10547;10543;10539;10534;10527;10518;10505;10494;10477;10458;10439;10416;10390;10366;10337;10308;10279;10247;10217;10183;10149;10113;10074;10032;9988;9939;9885;9829;9765;9694;9620;9540;9452;9358;9261;9157;9051
8;8155;8121;8086;8049;8004;7958;7915;7866;7812;7765;7708;7650;7604;7542;7482;7425;7368;7298;7232;7169;7109;7042;6977;6913;6843;6774;6705;6638;6574;6497;6426;6357;6283;6213;6141;6070;6000;5933;5866;5809;5760;5720;5699;5688;5685;5696;5712;5733;5757;5775;5787;5799;5801;5799;5790;5778;5758;5738;5713;5689;5665;5643;5623;5610;5600;5596;5599;5606;5619;5629;5643;5659;5672;5686;5698;5712;5727;5744;5760;5774;5791;5810;5829;5851;5874;5901;5929;5960;5991;6026;6063;6097;6134;6177;6218;6260;6307;6356;6405;6458;6505;6560;6615;6667;6714;6765;6811;6858;6903;6949;6989;7031;7073;7111;7150;7189;7227;7264;7303;7341;7374;7411;7448;7482;7518;7553;7591;7625;7660;7697;7735;7766;7806;7841;7878;7915;7953;7988;8022;8058;8091;8123;8156;8190;8223;8251;8283;8311;8338;8367;8392;8417;8441;8468;8491;8513;8535;8559;8582;8602;8621;8644;8664;8682;8699;8718;8739;8756;8778;8793;8814;8831;8850;8868;8891;8913;8929;8951;8976;8999;9021;9046;9068;9096;9121;9147;9174;9198;9227;9255;9286;9317;9349;9380;9413;9442;9473;9501;9531;9557;9583;9608;9634;9658;9687;9709;9734;9760;9786;9812;9838;9864;9889;9916;9938;9962;9988;10007;10030;10052;10075;10099;10125;10149;10175;10201;10227;10254;10282;10305;10331;10353;10376;10397;10416;10437;10453;10469;10485;10499;10514;10528;10539;10552;10562;10570;10578;10585;10591;10596;10599;10600;10601;10600;10598;10595;10591;10584;10579;10573;10567;10562;10557;10553;10548;10543;10540;10532;10525;10517;10505;10493;10478;10459;10440;10417;10390;10366;10337;10310;10279;10249;10215;10184;10151;10112;10073;10033;9989;9938;9887;9828;9764;9695;9619;9538;9452;9360;9262;9158;9050
