SENSORID;SAMPLEID;DETECTORTYPE;DATEDARK;DATEREF;DATESMPL;AVERAGECOUNT;CORRTEMPH;GLITCH;REDGAIN;REDOFFSET;DARK;T_SRC;T_DCT;T_DCTPCB;T_SMPL;VSRC;ISRC;TREAT
FQBA-002-0642;FQBA-002-0642 DCPX__FIE03068.2.230531-102146;14272;31/05/2023 10:18:00;31/05/2023 10:18:13;31/05/2023 10:21:46;41;0;100;1;0;42.6570044173971;25.99486;25.89034;25.5625;26.77677;4007.606;102.4508;128
LAMBDAS;1350;1351;1352;1353;1354;1355;1356;1357;1358;1359;1360;1361;1362;1363;1364;1365;1366;1367;1368;1369;1370;1371;1372;1373;1374;1375;1376;1377;1378;1379;1380;1381;1382;1383;1384;1385;1386;1387;1388;1389;1390;1391;1392;1393;1394;1395;1396;1397;1398;1399;1400;1401;1402;1403;1404;1405;1406;1407;1408;1409;1410;1411;1412;1413;1414;1415;1416;1417;1418;1419;1420;1421;1422;1423;1424;1425;1426;1427;1428;1429;1430;1431;1432;1433;1434;1435;1436;1437;1438;1439;1440;1441;1442;1443;1444;1445;1446;1447;1448;1449;1450;1451;1452;1453;1454;1455;1456;1457;1458;1459;1460;1461;1462;1463;1464;1465;1466;1467;1468;1469;1470;1471;1472;1473;1474;1475;1476;1477;1478;1479;1480;1481;1482;1483;1484;1485;1486;1487;1488;1489;1490;1491;1492;1493;1494;1495;1496;1497;1498;1499;1500;1501;1502;1503;1504;1505;1506;1507;1508;1509;1510;1511;1512;1513;1514;1515;1516;1517;1518;1519;1520;1521;1522;1523;1524;1525;1526;1527;1528;1529;1530;1531;1532;1533;1534;1535;1536;1537;1538;1539;1540;1541;1542;1543;1544;1545;1546;1547;1548;1549;1550;1551;1552;1553;1554;1555;1556;1557;1558;1559;1560;1561;1562;1563;1564;1565;1566;1567;1568;1569;1570;1571;1572;1573;1574;1575;1576;1577;1578;1579;1580;1581;1582;1583;1584;1585;1586;1587;1588;1589;1590;1591;1592;1593;1594;1595;1596;1597;1598;1599;1600;1601;1602;1603;1604;1605;1606;1607;1608;1609;1610;1611;1612;1613;1614;1615;1616;1617;1618;1619;1620;1621;1622;1623;1624;1625;1626;1627;1628;1629;1630;1631;1632;1633;1634;1635;1636;1637;1638;1639;1640;1641;1642;1643;1644;1645;1646;1647;1648;1649;1650
REFERENCE;9861.75609756098;9859.41463414634;9855.87804878049;9852.0487804878;9846.60975609756;9840.46341463415;9832.87804878049;9825.58536585366;9818;9808.70731707317;9799.46341463415;9790.92682926829;9783.39024390244;9775.85365853659;9768.31707317073;9762.92682926829;9757.60975609756;9753.39024390244;9749.68292682927;9747.0487804878;9745.9756097561;9744.56097560976;9744.43902439024;9744.9756097561;9745.41463414634;9745.85365853659;9745.70731707317;9745.21951219512;9744.63414634146;9743.14634146341;9740.92682926829;9739.26829268293;9736.39024390244;9733.53658536585;9731.80487804878;9729.24390243902;9727.41463414634;9725.0487804878;9722.0487804878;9718.48780487805;9715.19512195122;9711.19512195122;9706.87804878049;9702.07317073171;9698.73170731707;9694.68292682927;9691.26829268293;9689.17073170732;9686.9756097561;9686.36585365854;9685.46341463415;9685.75609756098;9687.34146341463;9688.78048780488;9691.36585365854;9694.07317073171;9697.41463414634;9700.87804878049;9704.60975609756;9708.36585365854;9713.14634146341;9717.36585365854;9721.73170731707;9726.31707317073;9730;9733.87804878049;9736.90243902439;9740.12195121951;9742.39024390244;9744.68292682927;9746.87804878049;9749.0243902439;9751.39024390244;9753.82926829268;9756.9512195122;9759.90243902439;9762.65853658537;9766.31707317073;9769.24390243902;9772.9756097561;9776.09756097561;9779.68292682927;9783.14634146341;9787.07317073171;9791.0487804878;9795.58536585366;9801.12195121951;9806.85365853659;9812.70731707317;9819.14634146341;9825.36585365854;9832.48780487805;9840.0243902439;9847.65853658537;9856.68292682927;9866.24390243902;9875.9756097561;9886.53658536585;9897.12195121951;9908.82926829268;9920.56097560976;9932.51219512195;9945.12195121951;9957;9970.58536585366;9983.51219512195;9995.9512195122;10009.8048780488;10021.8292682927;10034.6097560976;10047.1951219512;10059.2682926829;10070.9024390244;10083.1219512195;10094.512195122;10105.243902439;10116.487804878;10127.0975609756;10137.512195122;10148.0975609756;10159.0487804878;10169.3902439024;10179.9512195122;10190;10201.1463414634;10211.756097561;10222.1219512195;10233.243902439;10244.8292682927;10255.7073170732;10267.243902439;10279.5365853659;10292.0487804878;10305.7073170732;10319.3902439024;10333.2682926829;10348.1707317073;10363.512195122;10379.1219512195;10394.8048780488;10410.9268292683;10427;10443.756097561;10461.487804878;10478.3902439024;10495.487804878;10511.512195122;10527.6097560976;10543.5609756098;10558.8048780488;10573.2682926829;10587.5609756098;10601.8780487805;10615.2926829268;10629;10642.0243902439;10654.9756097561;10668.0731707317;10681.7804878049;10694.5853658537;10707.5853658537;10721.0243902439;10734.8048780488;10748.5853658537;10762.9024390244;10777.9756097561;10792.512195122;10809.0487804878;10825.5853658537;10841.8048780488;10859.0487804878;10876.4390243902;10895.1463414634;10914.3170731707;10933.5609756098;10953.3902439024;10974.487804878;10996.0731707317;11018.2682926829;11040.4146341463;11064.0731707317;11088.0975609756;11111.8780487805;11136.0731707317;11161.2682926829;11185.7804878049;11210.2195121951;11234.5853658537;11259.756097561;11282.7804878049;11307.3658536585;11330.1463414634;11353.487804878;11376.0243902439;11399.0487804878;11420.7317073171;11442.9756097561;11465.1707317073;11487.4146341463;11509.0243902439;11531.756097561;11554.9512195122;11577.9268292683;11601.6829268293;11626.5853658537;11651.9268292683;11678.4634146341;11705.5609756098;11734.3170731707;11763.512195122;11793.3414634146;11824.4634146341;11856.0487804878;11887.6097560976;11919.4146341463;11951.3658536585;11983.6097560976;12015.9756097561;12047.756097561;12079.6585365854;12111.0487804878;12142.512195122;12173.7317073171;12203.5853658537;12234.0487804878;12264.0731707317;12293.4146341463;12322.243902439;12350.5609756098;12378.8048780488;12407.2682926829;12435.2926829268;12462.7804878049;12491.2195121951;12518.2926829268;12545.6829268293;12573.5365853659;12600.4390243902;12627.3414634146;12654.3414634146;12682.0243902439;12709.2682926829;12736.6585365854;12763.8780487805;12791.8048780488;12819.8048780488;12847.6341463415;12876.6341463415;12905.6829268293;12934.8780487805;12964.3658536585;12994.8292682927;13025.4634146341;13056.4146341463;13088.3902439024;13121;13153.8536585366;13186.9756097561;13221.1463414634;13255.1951219512;13290.0243902439;13325.4634146341;13361.1951219512;13397.3414634146;13433.243902439;13469.3658536585;13505.8536585366;13541.8048780488;13578.3414634146;13614.5853658537;13650.9756097561;13686.6585365854;13723.8536585366;13759.7804878049;13796.756097561;13833.1707317073;13869.5365853659;13906.6341463415;13944.0487804878;13980.2926829268;14017.0487804878;14053.5365853659;14090.7317073171;14126.6829268293;14162.0487804878;14197.3902439024;14232.9512195122;14267.6829268293;14301.4146341463;14336.1463414634;14369.8048780488;14403.8292682927;14437.0487804878;14469.8292682927;14503.5609756098;14535.9268292683;14568.3414634146;14600.6585365854;14632.2195121951;14664;14695.7804878049
1;8551;8504;8453;8387;8313;8238;8157;8063;7964;7881;7791;7706;7631;7559;7490;7428;7361;7296;7224;7154;7078;7000;6918;6836;6760;6677;6591;6508;6436;6350;6271;6196;6117;6044;5969;5889;5805;5730;5655;5580;5512;5458;5419;5396;5389;5398;5420;5448;5483;5522;5551;5579;5599;5611;5613;5609;5597;5581;5556;5533;5504;5480;5462;5449;5447;5455;5471;5494;5524;5548;5577;5605;5630;5653;5674;5691;5710;5725;5738;5749;5761;5776;5788;5802;5821;5847;5871;5902;5935;5967;6007;6043;6083;6122;6165;6209;6253;6301;6348;6399;6447;6504;6554;6604;6657;6707;6753;6796;6842;6885;6926;6962;7000;7036;7074;7109;7143;7181;7217;7252;7290;7327;7367;7406;7441;7480;7516;7556;7590;7627;7663;7697;7732;7767;7802;7835;7866;7902;7933;7965;7997;8029;8057;8089;8120;8152;8189;8219;8253;8285;8318;8351;8382;8415;8444;8476;8508;8539;8567;8598;8623;8650;8679;8706;8731;8756;8783;8807;8832;8854;8880;8904;8930;8954;8979;9005;9033;9058;9086;9112;9140;9171;9195;9226;9255;9286;9318;9350;9384;9418;9457;9494;9531;9571;9614;9652;9691;9732;9767;9803;9838;9869;9901;9934;9964;9997;10028;10061;10092;10123;10155;10189;10220;10251;10283;10313;10342;10374;10404;10432;10461;10488;10517;10540;10566;10588;10611;10631;10650;10670;10689;10707;10722;10743;10756;10773;10788;10802;10815;10829;10843;10856;10871;10880;10893;10904;10914;10928;10937;10948;10958;10968;10976;10987;10996;11002;11011;11017;11025;11029;11032;11038;11040;11041;11042;11039;11036;11032;11025;11016;11008;10995;10983;10969;10958;10943;10926;10913;10897;10880;10866;10855;10840;10827;10817;10804;10792;10782;10771;10760;10748;10736;10723;10710;10697;10681;10664;10645;10626;10604;10582
2;8551;8507;8452;8388;8316;8237;8159;8063;7966;7881;7792;7705;7631;7563;7491;7428;7363;7295;7227;7152;7079;6999;6919;6839;6760;6674;6590;6511;6434;6352;6272;6196;6117;6047;5969;5890;5807;5733;5656;5578;5510;5458;5419;5397;5392;5398;5422;5451;5484;5520;5549;5581;5599;5609;5615;5611;5598;5582;5557;5532;5505;5479;5461;5448;5447;5455;5472;5495;5521;5548;5579;5605;5629;5652;5675;5694;5710;5727;5740;5751;5759;5773;5787;5804;5822;5848;5873;5901;5933;5968;6006;6044;6083;6123;6163;6212;6252;6299;6348;6400;6448;6502;6554;6604;6653;6705;6752;6797;6842;6883;6925;6964;7003;7037;7072;7109;7142;7179;7218;7252;7291;7327;7368;7406;7442;7481;7520;7553;7590;7626;7660;7699;7732;7767;7801;7835;7866;7901;7933;7964;7995;8026;8058;8091;8121;8156;8186;8219;8252;8285;8317;8352;8383;8417;8445;8477;8507;8537;8567;8597;8623;8654;8680;8707;8732;8758;8782;8806;8831;8856;8883;8904;8928;8954;8982;9005;9032;9057;9084;9111;9141;9169;9196;9227;9256;9289;9317;9351;9384;9418;9458;9495;9533;9574;9614;9652;9694;9729;9768;9806;9836;9870;9902;9934;9965;9996;10029;10061;10091;10124;10154;10186;10218;10251;10282;10314;10344;10374;10404;10434;10461;10487;10514;10539;10564;10586;10609;10632;10652;10673;10689;10707;10724;10739;10756;10770;10787;10804;10815;10829;10842;10856;10868;10880;10892;10904;10917;10926;10937;10949;10957;10968;10978;10986;10994;11003;11013;11018;11022;11028;11033;11037;11041;11042;11040;11040;11038;11034;11025;11017;11008;10997;10983;10971;10957;10940;10927;10912;10897;10881;10867;10855;10840;10828;10814;10804;10792;10782;10770;10759;10747;10736;10725;10711;10697;10681;10664;10646;10626;10604;10581
3;8555;8504;8454;8389;8315;8238;8161;8062;7968;7878;7792;7704;7631;7559;7494;7427;7362;7295;7225;7156;7079;7000;6919;6839;6759;6676;6590;6513;6433;6351;6272;6197;6119;6047;5972;5889;5808;5732;5657;5578;5512;5458;5422;5396;5391;5398;5420;5451;5485;5520;5551;5581;5599;5611;5614;5612;5597;5580;5556;5532;5507;5481;5460;5451;5447;5457;5473;5493;5522;5548;5577;5606;5630;5653;5675;5695;5710;5725;5737;5749;5763;5774;5788;5806;5824;5846;5872;5903;5933;5969;6003;6045;6081;6123;6165;6207;6255;6299;6347;6397;6448;6501;6554;6608;6655;6707;6751;6797;6841;6884;6923;6962;7002;7039;7074;7110;7144;7180;7214;7253;7289;7327;7369;7403;7442;7478;7516;7553;7590;7627;7662;7696;7732;7767;7801;7835;7866;7899;7932;7965;7995;8028;8059;8089;8122;8154;8187;8222;8255;8285;8317;8350;8382;8414;8446;8478;8506;8537;8566;8595;8625;8652;8678;8704;8733;8758;8782;8807;8830;8855;8882;8907;8932;8953;8982;9006;9032;9059;9086;9111;9141;9168;9196;9226;9259;9287;9318;9349;9386;9420;9455;9492;9533;9574;9611;9651;9692;9731;9768;9804;9838;9873;9902;9935;9964;9995;10030;10059;10091;10126;10155;10187;10219;10253;10281;10313;10344;10374;10405;10434;10463;10488;10516;10541;10563;10589;10610;10631;10654;10671;10688;10706;10724;10741;10757;10772;10787;10800;10817;10830;10842;10856;10868;10881;10893;10905;10915;10926;10939;10949;10959;10967;10978;10987;10995;11002;11008;11016;11023;11028;11036;11039;11039;11041;11041;11041;11038;11032;11025;11016;11006;10997;10984;10971;10956;10942;10926;10911;10897;10883;10868;10853;10842;10827;10816;10802;10793;10781;10770;10760;10748;10736;10723;10710;10696;10681;10663;10646;10626;10604;10581
4;8552;8504;8457;8388;8313;8240;8157;8063;7964;7881;7792;7704;7632;7559;7493;7428;7364;7295;7224;7154;7078;7000;6919;6836;6759;6676;6590;6509;6434;6352;6274;6197;6121;6045;5970;5891;5806;5730;5658;5578;5511;5459;5418;5397;5389;5397;5420;5449;5484;5519;5549;5579;5601;5612;5614;5608;5599;5581;5556;5531;5505;5481;5461;5451;5448;5458;5472;5495;5522;5551;5577;5605;5631;5656;5673;5692;5709;5725;5737;5749;5763;5774;5788;5803;5822;5847;5872;5902;5932;5967;6005;6043;6081;6123;6166;6210;6253;6300;6348;6399;6449;6502;6555;6604;6654;6707;6752;6796;6841;6883;6924;6962;6999;7038;7072;7109;7144;7183;7216;7256;7289;7327;7366;7403;7443;7478;7517;7552;7592;7628;7661;7697;7732;7769;7800;7835;7869;7901;7935;7965;7995;8026;8060;8090;8121;8154;8187;8219;8253;8288;8320;8350;8382;8416;8446;8480;8507;8538;8567;8595;8626;8651;8681;8706;8730;8756;8784;8806;8830;8855;8880;8906;8931;8954;8978;9008;9032;9060;9085;9111;9139;9169;9198;9226;9256;9288;9320;9350;9385;9418;9456;9494;9531;9571;9612;9654;9692;9730;9769;9804;9838;9869;9904;9936;9966;9995;10027;10059;10090;10122;10158;10186;10219;10252;10285;10314;10346;10374;10404;10432;10464;10488;10516;10544;10565;10589;10609;10631;10650;10671;10690;10708;10725;10740;10758;10771;10787;10802;10815;10829;10841;10854;10868;10882;10892;10903;10917;10926;10939;10946;10958;10967;10976;10986;10995;11004;11010;11017;11022;11030;11034;11037;11040;11042;11041;11040;11037;11032;11025;11018;11009;10997;10984;10970;10956;10941;10927;10911;10897;10881;10868;10853;10841;10828;10816;10803;10792;10782;10770;10759;10749;10735;10724;10711;10696;10680;10664;10646;10626;10604;10582
5;8553;8504;8452;8392;8314;8239;8159;8063;7965;7880;7797;7703;7634;7560;7489;7430;7367;7298;7224;7153;7081;7000;6922;6838;6759;6675;6592;6511;6433;6355;6273;6196;6118;6045;5969;5892;5807;5732;5657;5578;5511;5461;5419;5399;5390;5400;5420;5449;5484;5521;5550;5578;5599;5609;5614;5610;5601;5580;5559;5532;5506;5480;5460;5449;5449;5455;5471;5493;5521;5549;5576;5607;5630;5652;5674;5693;5712;5725;5737;5749;5762;5772;5789;5803;5822;5848;5875;5902;5934;5967;6005;6044;6082;6126;6164;6209;6253;6299;6349;6398;6451;6501;6557;6604;6655;6705;6751;6798;6844;6882;6923;6961;7001;7038;7073;7111;7143;7181;7215;7254;7288;7330;7368;7403;7442;7479;7516;7552;7588;7627;7661;7697;7734;7767;7802;7836;7869;7899;7936;7964;7995;8027;8061;8089;8119;8154;8187;8219;8251;8287;8319;8350;8384;8415;8447;8476;8507;8538;8567;8595;8623;8652;8680;8704;8733;8757;8782;8807;8830;8857;8882;8904;8929;8956;8980;9005;9031;9058;9086;9113;9140;9167;9196;9229;9256;9287;9318;9350;9385;9419;9456;9492;9532;9572;9612;9651;9691;9733;9769;9803;9838;9870;9904;9934;9964;9997;10029;10058;10090;10124;10157;10187;10220;10250;10284;10316;10346;10375;10404;10434;10460;10490;10517;10542;10564;10586;10611;10633;10652;10669;10690;10706;10727;10743;10757;10773;10790;10802;10815;10831;10844;10857;10869;10879;10893;10905;10914;10928;10937;10949;10960;10968;10978;10988;10995;11004;11009;11018;11025;11028;11033;11036;11039;11042;11043;11040;11037;11031;11026;11018;11008;10997;10985;10971;10956;10943;10927;10911;10895;10882;10869;10855;10841;10827;10817;10804;10794;10781;10772;10760;10748;10736;10724;10711;10698;10682;10666;10645;10627;10604;10581
6;8552;8504;8454;8390;8314;8237;8158;8066;7966;7880;7795;7706;7630;7561;7492;7429;7363;7299;7224;7154;7080;7003;6920;6837;6761;6679;6594;6510;6436;6352;6273;6197;6119;6045;5970;5890;5806;5730;5657;5581;5514;5458;5420;5397;5390;5399;5420;5450;5483;5523;5552;5578;5599;5611;5614;5608;5598;5580;5558;5534;5505;5481;5461;5449;5448;5456;5471;5493;5524;5550;5576;5606;5629;5654;5673;5693;5712;5725;5737;5748;5762;5777;5787;5804;5822;5847;5872;5903;5935;5966;6004;6043;6082;6123;6165;6209;6253;6301;6348;6400;6449;6503;6554;6605;6657;6706;6753;6797;6843;6885;6924;6961;7000;7037;7075;7110;7144;7179;7216;7253;7289;7328;7367;7404;7440;7478;7517;7555;7591;7626;7664;7698;7733;7766;7803;7836;7866;7901;7933;7968;7996;8029;8059;8089;8120;8153;8190;8219;8252;8285;8318;8350;8384;8415;8446;8478;8510;8539;8570;8596;8624;8650;8678;8706;8731;8757;8783;8808;8831;8856;8880;8905;8930;8954;8980;9006;9032;9057;9088;9112;9140;9170;9196;9226;9254;9286;9318;9350;9384;9418;9456;9494;9532;9572;9614;9651;9692;9733;9766;9803;9836;9869;9902;9935;9965;9997;10027;10061;10094;10122;10155;10189;10222;10251;10283;10314;10342;10374;10404;10433;10462;10488;10516;10541;10567;10587;10612;10629;10651;10671;10689;10707;10723;10742;10757;10774;10788;10803;10816;10830;10843;10856;10870;10881;10894;10904;10916;10928;10937;10948;10959;10971;10977;10988;10996;11003;11012;11017;11023;11028;11033;11037;11041;11042;11040;11040;11038;11033;11023;11017;11010;10996;10984;10970;10958;10941;10927;10913;10898;10881;10866;10855;10840;10830;10815;10805;10793;10783;10770;10759;10748;10737;10724;10711;10696;10682;10664;10646;10626;10606;10582
7;8553;8506;8453;8389;8317;8237;8160;8067;7966;7883;7793;7708;7631;7563;7492;7427;7364;7296;7226;7153;7078;7000;6919;6839;6761;6678;6591;6510;6436;6354;6272;6196;6118;6045;5970;5892;5807;5731;5656;5580;5513;5460;5419;5398;5389;5398;5423;5451;5483;5521;5551;5580;5599;5611;5616;5609;5599;5582;5558;5534;5505;5479;5462;5449;5449;5455;5470;5496;5522;5549;5579;5606;5629;5653;5674;5694;5710;5726;5740;5750;5762;5774;5788;5805;5822;5846;5873;5902;5932;5966;6007;6043;6083;6124;6164;6211;6252;6299;6349;6401;6449;6503;6555;6604;6656;6705;6755;6797;6840;6884;6926;6963;7001;7037;7073;7108;7143;7179;7218;7253;7293;7326;7368;7406;7442;7480;7519;7556;7589;7626;7662;7698;7732;7767;7800;7835;7869;7901;7933;7965;7997;8027;8059;8091;8120;8156;8189;8219;8252;8286;8318;8352;8382;8417;8445;8478;8508;8538;8567;8598;8624;8653;8679;8708;8732;8758;8782;8807;8833;8856;8882;8904;8929;8955;8980;9006;9034;9058;9086;9111;9141;9172;9196;9227;9256;9288;9318;9352;9384;9418;9458;9494;9532;9572;9615;9650;9693;9730;9768;9804;9837;9870;9902;9934;9963;9996;10027;10061;10092;10123;10155;10185;10218;10251;10283;10314;10344;10375;10404;10435;10462;10489;10515;10540;10564;10587;10611;10632;10651;10672;10689;10708;10725;10740;10757;10771;10788;10803;10816;10830;10843;10858;10868;10880;10891;10906;10918;10925;10936;10950;10958;10968;10979;10987;10994;11003;11011;11018;11023;11029;11035;11037;11041;11043;11041;11040;11038;11034;11026;11018;11008;10995;10984;10972;10957;10940;10927;10911;10898;10882;10868;10853;10840;10828;10815;10805;10791;10782;10770;10760;10747;10737;10725;10711;10696;10682;10664;10646;10627;10605;10582
8;8557;8505;8453;8390;8318;8236;8162;8064;7969;7880;7795;7705;7630;7563;7491;7428;7363;7298;7226;7155;7080;7000;6920;6840;6760;6677;6592;6512;6433;6352;6272;6198;6120;6048;5972;5891;5809;5734;5656;5578;5513;5458;5422;5397;5392;5398;5421;5452;5484;5521;5550;5581;5600;5611;5615;5612;5599;5581;5557;5532;5507;5480;5461;5450;5448;5456;5473;5494;5522;5549;5578;5605;5629;5653;5676;5696;5711;5725;5739;5751;5761;5775;5788;5805;5825;5845;5873;5902;5933;5969;6005;6045;6082;6124;6165;6210;6255;6300;6347;6398;6448;6501;6554;6608;6655;6705;6752;6797;6842;6883;6923;6962;7002;7040;7073;7109;7143;7179;7216;7252;7289;7327;7369;7405;7441;7479;7517;7552;7589;7625;7662;7696;7732;7766;7801;7836;7867;7899;7934;7964;7994;8025;8059;8090;8122;8155;8186;8221;8253;8286;8318;8354;8382;8413;8446;8479;8506;8538;8567;8595;8625;8654;8678;8705;8734;8759;8782;8805;8829;8854;8884;8905;8930;8954;8982;9006;9030;9058;9085;9113;9143;9167;9196;9226;9258;9289;9319;9350;9387;9421;9455;9492;9534;9574;9611;9653;9693;9732;9766;9805;9837;9872;9903;9934;9966;9995;10029;10061;10090;10123;10155;10187;10219;10252;10283;10314;10343;10374;10406;10434;10462;10488;10516;10540;10566;10589;10611;10631;10653;10671;10689;10706;10724;10742;10757;10773;10788;10800;10818;10831;10843;10855;10868;10883;10892;10904;10916;10928;10938;10949;10958;10968;10978;10987;10996;11003;11011;11018;11024;11031;11035;11039;11040;11041;11041;11040;11036;11032;11026;11018;11008;10996;10984;10971;10957;10942;10926;10912;10897;10884;10869;10855;10842;10829;10816;10803;10793;10782;10771;10761;10748;10735;10724;10711;10698;10681;10664;10646;10627;10605;10582
