SENSORID;SAMPLEID;DETECTORTYPE;DATEDARK;DATEREF;DATESMPL;AVERAGECOUNT;CORRTEMPH;GLITCH;REDGAIN;REDOFFSET;DARK;T_SRC;T_DCT;T_DCTPCB;T_SMPL;VSRC;ISRC;TREAT
FQBA-002-0642;FQBA-002-0642 DSMK____T01681.3.230531-111252;14272;31/05/2023 10:18:00;31/05/2023 10:18:13;31/05/2023 11:12:52;41;0;100;1;0;41.1409593302262;24.87945;24.58932;24.28125;25.43354;4007.444;102.451;128
LAMBDAS;1350;1351;1352;1353;1354;1355;1356;1357;1358;1359;1360;1361;1362;1363;1364;1365;1366;1367;1368;1369;1370;1371;1372;1373;1374;1375;1376;1377;1378;1379;1380;1381;1382;1383;1384;1385;1386;1387;1388;1389;1390;1391;1392;1393;1394;1395;1396;1397;1398;1399;1400;1401;1402;1403;1404;1405;1406;1407;1408;1409;1410;1411;1412;1413;1414;1415;1416;1417;1418;1419;1420;1421;1422;1423;1424;1425;1426;1427;1428;1429;1430;1431;1432;1433;1434;1435;1436;1437;1438;1439;1440;1441;1442;1443;1444;1445;1446;1447;1448;1449;1450;1451;1452;1453;1454;1455;1456;1457;1458;1459;1460;1461;1462;1463;1464;1465;1466;1467;1468;1469;1470;1471;1472;1473;1474;1475;1476;1477;1478;1479;1480;1481;1482;1483;1484;1485;1486;1487;1488;1489;1490;1491;1492;1493;1494;1495;1496;1497;1498;1499;1500;1501;1502;1503;1504;1505;1506;1507;1508;1509;1510;1511;1512;1513;1514;1515;1516;1517;1518;1519;1520;1521;1522;1523;1524;1525;1526;1527;1528;1529;1530;1531;1532;1533;1534;1535;1536;1537;1538;1539;1540;1541;1542;1543;1544;1545;1546;1547;1548;1549;1550;1551;1552;1553;1554;1555;1556;1557;1558;1559;1560;1561;1562;1563;1564;1565;1566;1567;1568;1569;1570;1571;1572;1573;1574;1575;1576;1577;1578;1579;1580;1581;1582;1583;1584;1585;1586;1587;1588;1589;1590;1591;1592;1593;1594;1595;1596;1597;1598;1599;1600;1601;1602;1603;1604;1605;1606;1607;1608;1609;1610;1611;1612;1613;1614;1615;1616;1617;1618;1619;1620;1621;1622;1623;1624;1625;1626;1627;1628;1629;1630;1631;1632;1633;1634;1635;1636;1637;1638;1639;1640;1641;1642;1643;1644;1645;1646;1647;1648;1649;1650
REFERENCE;9861.75609756098;9859.41463414634;9855.87804878049;9852.0487804878;9846.60975609756;9840.46341463415;9832.87804878049;9825.58536585366;9818;9808.70731707317;9799.46341463415;9790.92682926829;9783.39024390244;9775.85365853659;9768.31707317073;9762.92682926829;9757.60975609756;9753.39024390244;9749.68292682927;9747.0487804878;9745.9756097561;9744.56097560976;9744.43902439024;9744.9756097561;9745.41463414634;9745.85365853659;9745.70731707317;9745.21951219512;9744.63414634146;9743.14634146341;9740.92682926829;9739.26829268293;9736.39024390244;9733.53658536585;9731.80487804878;9729.24390243902;9727.41463414634;9725.0487804878;9722.0487804878;9718.48780487805;9715.19512195122;9711.19512195122;9706.87804878049;9702.07317073171;9698.73170731707;9694.68292682927;9691.26829268293;9689.17073170732;9686.9756097561;9686.36585365854;9685.46341463415;9685.75609756098;9687.34146341463;9688.78048780488;9691.36585365854;9694.07317073171;9697.41463414634;9700.87804878049;9704.60975609756;9708.36585365854;9713.14634146341;9717.36585365854;9721.73170731707;9726.31707317073;9730;9733.87804878049;9736.90243902439;9740.12195121951;9742.39024390244;9744.68292682927;9746.87804878049;9749.0243902439;9751.39024390244;9753.82926829268;9756.9512195122;9759.90243902439;9762.65853658537;9766.31707317073;9769.24390243902;9772.9756097561;9776.09756097561;9779.68292682927;9783.14634146341;9787.07317073171;9791.0487804878;9795.58536585366;9801.12195121951;9806.85365853659;9812.70731707317;9819.14634146341;9825.36585365854;9832.48780487805;9840.0243902439;9847.65853658537;9856.68292682927;9866.24390243902;9875.9756097561;9886.53658536585;9897.12195121951;9908.82926829268;9920.56097560976;9932.51219512195;9945.12195121951;9957;9970.58536585366;9983.51219512195;9995.9512195122;10009.8048780488;10021.8292682927;10034.6097560976;10047.1951219512;10059.2682926829;10070.9024390244;10083.1219512195;10094.512195122;10105.243902439;10116.487804878;10127.0975609756;10137.512195122;10148.0975609756;10159.0487804878;10169.3902439024;10179.9512195122;10190;10201.1463414634;10211.756097561;10222.1219512195;10233.243902439;10244.8292682927;10255.7073170732;10267.243902439;10279.5365853659;10292.0487804878;10305.7073170732;10319.3902439024;10333.2682926829;10348.1707317073;10363.512195122;10379.1219512195;10394.8048780488;10410.9268292683;10427;10443.756097561;10461.487804878;10478.3902439024;10495.487804878;10511.512195122;10527.6097560976;10543.5609756098;10558.8048780488;10573.2682926829;10587.5609756098;10601.8780487805;10615.2926829268;10629;10642.0243902439;10654.9756097561;10668.0731707317;10681.7804878049;10694.5853658537;10707.5853658537;10721.0243902439;10734.8048780488;10748.5853658537;10762.9024390244;10777.9756097561;10792.512195122;10809.0487804878;10825.5853658537;10841.8048780488;10859.0487804878;10876.4390243902;10895.1463414634;10914.3170731707;10933.5609756098;10953.3902439024;10974.487804878;10996.0731707317;11018.2682926829;11040.4146341463;11064.0731707317;11088.0975609756;11111.8780487805;11136.0731707317;11161.2682926829;11185.7804878049;11210.2195121951;11234.5853658537;11259.756097561;11282.7804878049;11307.3658536585;11330.1463414634;11353.487804878;11376.0243902439;11399.0487804878;11420.7317073171;11442.9756097561;11465.1707317073;11487.4146341463;11509.0243902439;11531.756097561;11554.9512195122;11577.9268292683;11601.6829268293;11626.5853658537;11651.9268292683;11678.4634146341;11705.5609756098;11734.3170731707;11763.512195122;11793.3414634146;11824.4634146341;11856.0487804878;11887.6097560976;11919.4146341463;11951.3658536585;11983.6097560976;12015.9756097561;12047.756097561;12079.6585365854;12111.0487804878;12142.512195122;12173.7317073171;12203.5853658537;12234.0487804878;12264.0731707317;12293.4146341463;12322.243902439;12350.5609756098;12378.8048780488;12407.2682926829;12435.2926829268;12462.7804878049;12491.2195121951;12518.2926829268;12545.6829268293;12573.5365853659;12600.4390243902;12627.3414634146;12654.3414634146;12682.0243902439;12709.2682926829;12736.6585365854;12763.8780487805;12791.8048780488;12819.8048780488;12847.6341463415;12876.6341463415;12905.6829268293;12934.8780487805;12964.3658536585;12994.8292682927;13025.4634146341;13056.4146341463;13088.3902439024;13121;13153.8536585366;13186.9756097561;13221.1463414634;13255.1951219512;13290.0243902439;13325.4634146341;13361.1951219512;13397.3414634146;13433.243902439;13469.3658536585;13505.8536585366;13541.8048780488;13578.3414634146;13614.5853658537;13650.9756097561;13686.6585365854;13723.8536585366;13759.7804878049;13796.756097561;13833.1707317073;13869.5365853659;13906.6341463415;13944.0487804878;13980.2926829268;14017.0487804878;14053.5365853659;14090.7317073171;14126.6829268293;14162.0487804878;14197.3902439024;14232.9512195122;14267.6829268293;14301.4146341463;14336.1463414634;14369.8048780488;14403.8292682927;14437.0487804878;14469.8292682927;14503.5609756098;14535.9268292683;14568.3414634146;14600.6585365854;14632.2195121951;14664;14695.7804878049
1;8557;8502;8448;8388;8306;8227;8133;8036;7936;7847;7752;7653;7567;7495;7419;7346;7285;7213;7142;7073;6993;6915;6834;6755;6670;6587;6505;6424;6342;6268;6189;6116;6047;5976;5914;5850;5786;5727;5664;5614;5565;5525;5495;5477;5471;5479;5492;5515;5548;5579;5607;5632;5655;5670;5676;5677;5674;5662;5648;5628;5611;5594;5581;5574;5578;5590;5613;5644;5680;5714;5753;5790;5821;5849;5876;5900;5920;5934;5947;5958;5970;5980;5993;6007;6023;6045;6071;6098;6130;6162;6198;6235;6270;6309;6347;6387;6425;6464;6506;6551;6598;6643;6694;6738;6782;6831;6871;6911;6951;6992;7026;7059;7092;7123;7157;7186;7219;7245;7276;7308;7339;7372;7406;7437;7471;7502;7536;7568;7599;7630;7665;7692;7724;7754;7784;7814;7845;7876;7904;7932;7962;7990;8017;8047;8076;8106;8138;8168;8202;8232;8264;8297;8330;8364;8394;8427;8463;8493;8524;8556;8590;8618;8653;8681;8711;8742;8775;8802;8833;8864;8895;8924;8955;8988;9017;9051;9080;9114;9146;9177;9211;9245;9275;9310;9345;9376;9409;9442;9476;9513;9547;9580;9616;9654;9687;9723;9757;9790;9822;9852;9884;9914;9942;9973;10005;10032;10062;10091;10123;10152;10182;10214;10242;10275;10304;10335;10363;10389;10418;10446;10471;10497;10521;10544;10566;10589;10610;10627;10647;10663;10682;10697;10711;10727;10741;10757;10770;10783;10794;10805;10816;10828;10841;10848;10859;10870;10880;10890;10898;10908;10917;10927;10931;10939;10948;10953;10959;10963;10970;10973;10978;10981;10984;10982;10980;10979;10974;10971;10961;10952;10940;10928;10916;10900;10884;10867;10852;10832;10817;10801;10783;10768;10751;10740;10725;10714;10704;10692;10683;10674;10665;10656;10649;10638;10628;10617;10605;10592;10578;10560;10542
2;8557;8503;8449;8383;8307;8228;8133;8039;7940;7848;7751;7652;7567;7496;7423;7349;7285;7214;7146;7069;6993;6919;6835;6757;6670;6585;6505;6424;6345;6265;6190;6117;6050;5979;5914;5851;5789;5729;5666;5613;5565;5526;5494;5478;5471;5476;5494;5516;5546;5577;5606;5633;5655;5668;5676;5677;5671;5663;5644;5627;5611;5593;5580;5575;5580;5591;5614;5642;5676;5714;5749;5787;5822;5852;5876;5899;5918;5937;5948;5957;5969;5981;5991;6008;6026;6044;6068;6098;6129;6165;6197;6235;6271;6308;6345;6385;6424;6464;6507;6553;6597;6645;6691;6739;6785;6828;6873;6912;6951;6993;7026;7060;7092;7124;7156;7187;7215;7246;7277;7309;7341;7372;7402;7438;7472;7501;7533;7567;7600;7633;7662;7693;7724;7753;7786;7814;7845;7871;7902;7932;7963;7989;8018;8049;8077;8107;8137;8169;8201;8233;8264;8296;8330;8366;8395;8430;8461;8496;8526;8558;8587;8622;8650;8681;8712;8744;8771;8802;8832;8864;8894;8924;8955;8986;9016;9050;9081;9111;9143;9179;9209;9244;9276;9311;9341;9374;9412;9446;9477;9512;9549;9581;9617;9651;9686;9722;9755;9792;9823;9853;9886;9914;9944;9973;10003;10032;10061;10092;10124;10151;10182;10211;10243;10274;10303;10332;10363;10390;10418;10445;10471;10496;10521;10544;10566;10588;10608;10626;10644;10664;10680;10697;10712;10727;10742;10756;10769;10782;10794;10808;10817;10830;10839;10850;10862;10872;10881;10888;10899;10908;10917;10925;10932;10940;10945;10953;10959;10966;10970;10976;10978;10981;10981;10981;10982;10977;10974;10968;10960;10952;10942;10931;10914;10900;10885;10870;10850;10834;10817;10800;10785;10769;10754;10739;10726;10715;10702;10693;10684;10675;10666;10656;10647;10638;10628;10620;10606;10592;10577;10562;10542
3;8559;8502;8448;8385;8307;8228;8134;8038;7938;7847;7754;7656;7566;7495;7420;7346;7285;7213;7142;7071;6992;6916;6834;6755;6670;6587;6506;6426;6344;6267;6193;6119;6048;5977;5914;5850;5788;5728;5668;5613;5567;5527;5497;5478;5472;5477;5491;5519;5545;5576;5607;5634;5655;5669;5677;5676;5672;5661;5646;5628;5610;5593;5584;5575;5577;5590;5612;5643;5677;5713;5751;5789;5821;5851;5880;5903;5919;5934;5947;5961;5970;5979;5992;6005;6023;6046;6070;6097;6131;6162;6199;6237;6271;6308;6346;6385;6425;6467;6507;6552;6597;6643;6691;6737;6783;6829;6871;6913;6954;6990;7025;7062;7092;7123;7154;7189;7216;7245;7276;7309;7343;7372;7404;7440;7472;7502;7535;7569;7600;7631;7662;7694;7724;7755;7783;7816;7846;7873;7902;7932;7961;7989;8017;8046;8079;8106;8139;8169;8200;8235;8267;8298;8332;8362;8397;8427;8461;8495;8525;8558;8588;8620;8651;8681;8713;8745;8773;8805;8835;8863;8893;8927;8957;8986;9019;9050;9082;9112;9144;9179;9209;9241;9275;9310;9343;9377;9411;9443;9476;9511;9546;9581;9616;9652;9687;9723;9758;9790;9822;9854;9887;9915;9942;9974;10003;10034;10063;10091;10121;10154;10184;10213;10242;10273;10305;10334;10363;10392;10418;10445;10471;10496;10523;10546;10568;10587;10607;10628;10645;10662;10681;10697;10714;10727;10740;10756;10768;10782;10793;10806;10816;10828;10840;10850;10861;10869;10880;10890;10898;10909;10919;10925;10931;10941;10948;10954;10961;10963;10970;10974;10977;10982;10983;10982;10982;10979;10974;10968;10963;10950;10940;10928;10916;10901;10885;10869;10852;10834;10818;10801;10783;10769;10754;10739;10727;10714;10703;10694;10682;10672;10666;10656;10647;10639;10628;10618;10608;10593;10578;10560;10542
4;8561;8502;8453;8384;8310;8229;8138;8041;7937;7850;7753;7654;7567;7498;7421;7350;7284;7215;7144;7071;6992;6917;6834;6755;6673;6588;6509;6428;6343;6267;6190;6118;6048;5980;5915;5851;5787;5728;5665;5613;5569;5525;5496;5477;5472;5477;5492;5516;5545;5576;5606;5633;5657;5668;5678;5678;5671;5661;5645;5631;5612;5596;5582;5576;5579;5592;5613;5642;5677;5717;5749;5790;5823;5850;5876;5899;5919;5934;5946;5959;5969;5980;5990;6006;6024;6046;6068;6101;6131;6163;6199;6237;6271;6308;6345;6385;6425;6463;6508;6555;6597;6644;6691;6738;6784;6828;6870;6910;6950;6991;7025;7058;7095;7125;7156;7185;7215;7247;7276;7308;7339;7371;7403;7437;7473;7502;7533;7569;7598;7630;7662;7697;7723;7756;7785;7814;7844;7873;7903;7933;7960;7992;8020;8048;8078;8107;8137;8168;8200;8233;8266;8297;8331;8365;8398;8428;8461;8493;8526;8556;8587;8619;8651;8683;8711;8743;8772;8803;8835;8864;8893;8924;8955;8986;9018;9048;9081;9112;9144;9176;9208;9242;9276;9309;9341;9375;9410;9443;9476;9511;9547;9583;9619;9651;9689;9724;9757;9790;9824;9853;9883;9916;9945;9974;10003;10034;10061;10092;10123;10153;10180;10212;10245;10273;10306;10333;10364;10389;10420;10447;10471;10499;10519;10543;10566;10587;10607;10629;10645;10662;10680;10698;10712;10727;10744;10755;10769;10781;10794;10807;10819;10829;10838;10851;10861;10870;10881;10889;10899;10908;10915;10924;10935;10938;10946;10953;10961;10964;10970;10974;10977;10981;10983;10983;10983;10979;10976;10968;10961;10950;10941;10930;10915;10902;10885;10868;10850;10835;10816;10800;10783;10769;10754;10739;10724;10714;10703;10693;10682;10673;10663;10656;10649;10638;10629;10618;10606;10593;10577;10562;10543
5;8556;8506;8449;8386;8307;8232;8136;8043;7937;7850;7754;7653;7571;7495;7421;7350;7283;7217;7142;7072;6996;6915;6837;6755;6671;6584;6506;6425;6343;6269;6193;6118;6049;5979;5914;5853;5787;5728;5666;5615;5566;5527;5495;5478;5470;5477;5492;5517;5546;5576;5608;5633;5654;5669;5676;5679;5673;5660;5647;5627;5612;5593;5580;5578;5578;5593;5613;5644;5677;5713;5751;5789;5821;5850;5877;5900;5918;5934;5947;5959;5971;5980;5992;6004;6024;6044;6069;6098;6130;6162;6196;6234;6270;6308;6346;6387;6424;6465;6510;6555;6596;6643;6692;6737;6783;6829;6871;6913;6951;6990;7024;7060;7093;7124;7154;7187;7216;7246;7277;7311;7341;7371;7403;7438;7473;7506;7536;7568;7600;7630;7662;7695;7726;7755;7783;7814;7844;7874;7901;7931;7961;7990;8017;8047;8077;8108;8138;8171;8200;8232;8265;8298;8330;8363;8395;8428;8460;8495;8524;8558;8590;8620;8651;8682;8711;8742;8775;8804;8833;8866;8894;8923;8956;8989;9017;9049;9080;9114;9147;9179;9212;9241;9277;9308;9342;9376;9409;9443;9478;9513;9547;9583;9618;9653;9686;9721;9756;9790;9825;9854;9885;9913;9944;9973;10003;10032;10062;10094;10122;10152;10182;10215;10244;10274;10303;10335;10361;10389;10417;10447;10473;10495;10521;10544;10567;10587;10609;10626;10648;10664;10680;10698;10712;10728;10742;10755;10771;10782;10796;10806;10817;10828;10840;10850;10860;10870;10880;10891;10899;10909;10917;10925;10933;10940;10948;10953;10958;10964;10970;10975;10978;10980;10982;10982;10982;10979;10974;10969;10961;10953;10941;10929;10916;10899;10886;10870;10853;10834;10815;10800;10783;10769;10753;10740;10727;10714;10705;10693;10682;10674;10665;10656;10649;10637;10628;10619;10606;10592;10578;10561;10543
6;8559;8503;8449;8388;8307;8226;8136;8040;7937;7847;7754;7654;7567;7496;7422;7348;7286;7213;7144;7074;6995;6915;6833;6756;6671;6587;6507;6426;6344;6269;6190;6117;6049;5978;5914;5851;5788;5727;5665;5615;5568;5525;5496;5476;5471;5478;5493;5517;5548;5579;5607;5633;5655;5670;5677;5677;5673;5662;5647;5628;5610;5594;5582;5576;5579;5590;5612;5644;5679;5715;5752;5788;5822;5850;5876;5900;5921;5937;5946;5959;5970;5982;5994;6006;6024;6045;6070;6099;6130;6163;6198;6234;6269;6310;6346;6386;6424;6463;6507;6551;6599;6643;6694;6740;6783;6830;6871;6911;6952;6991;7026;7059;7092;7123;7156;7186;7219;7246;7276;7310;7340;7371;7405;7438;7472;7502;7538;7568;7599;7630;7664;7692;7725;7754;7784;7814;7843;7876;7904;7931;7960;7990;8017;8047;8078;8105;8138;8168;8202;8231;8265;8298;8330;8364;8396;8427;8462;8493;8526;8556;8591;8620;8653;8680;8712;8742;8774;8803;8833;8864;8896;8925;8955;8987;9016;9050;9080;9114;9145;9176;9211;9244;9274;9309;9344;9375;9409;9444;9478;9513;9546;9580;9617;9654;9687;9722;9756;9791;9822;9853;9884;9915;9943;9974;10004;10032;10061;10090;10122;10153;10181;10213;10243;10276;10304;10335;10362;10390;10418;10444;10470;10497;10521;10544;10566;10589;10610;10627;10647;10665;10682;10696;10712;10730;10741;10757;10767;10783;10792;10807;10818;10828;10840;10851;10861;10873;10882;10890;10901;10907;10916;10925;10934;10939;10947;10954;10960;10966;10972;10975;10976;10982;10983;10981;10982;10979;10974;10970;10961;10954;10942;10932;10914;10900;10884;10868;10851;10834;10817;10800;10785;10769;10752;10739;10726;10716;10702;10692;10683;10675;10665;10657;10648;10637;10630;10619;10605;10593;10578;10561;10542
7;8558;8504;8449;8385;8307;8228;8136;8042;7940;7848;7754;7654;7568;7495;7425;7350;7286;7216;7146;7071;6995;6919;6835;6759;6671;6585;6506;6426;6346;6269;6191;6120;6050;5979;5914;5851;5790;5731;5667;5613;5566;5529;5495;5479;5470;5477;5494;5516;5547;5576;5607;5633;5654;5668;5677;5677;5671;5664;5646;5628;5612;5593;5580;5576;5580;5592;5615;5642;5679;5714;5750;5788;5824;5852;5876;5900;5919;5935;5949;5958;5968;5981;5991;6009;6026;6045;6068;6098;6129;6165;6197;6235;6273;6308;6344;6386;6423;6465;6506;6553;6598;6645;6691;6740;6785;6828;6871;6913;6950;6993;7028;7061;7092;7124;7157;7187;7214;7247;7277;7307;7341;7371;7403;7437;7474;7502;7534;7569;7601;7631;7663;7693;7723;7753;7787;7814;7844;7872;7904;7931;7963;7989;8016;8049;8076;8107;8137;8169;8201;8233;8264;8298;8330;8365;8395;8430;8461;8495;8524;8558;8587;8620;8651;8681;8712;8744;8772;8803;8833;8864;8893;8924;8956;8988;9017;9049;9081;9110;9145;9178;9210;9245;9276;9312;9341;9376;9412;9445;9476;9510;9549;9582;9617;9650;9686;9722;9756;9792;9822;9853;9885;9915;9943;9972;10002;10032;10062;10093;10123;10152;10184;10213;10244;10273;10304;10332;10363;10392;10418;10445;10472;10496;10523;10543;10567;10585;10606;10627;10645;10663;10679;10696;10714;10727;10742;10754;10770;10780;10794;10808;10818;10830;10839;10849;10863;10870;10880;10890;10899;10908;10918;10925;10932;10943;10948;10953;10960;10965;10969;10975;10978;10982;10981;10983;10981;10979;10974;10968;10962;10951;10941;10930;10916;10900;10884;10870;10851;10834;10818;10802;10783;10769;10754;10739;10728;10714;10704;10694;10683;10674;10667;10657;10649;10639;10629;10618;10607;10592;10578;10560;10543
8;8562;8503;8449;8385;8307;8226;8138;8041;7938;7847;7756;7658;7567;7495;7421;7350;7285;7215;7143;7073;6994;6915;6833;6754;6671;6589;6507;6429;6345;6267;6193;6118;6048;5978;5913;5851;5789;5729;5668;5614;5568;5528;5498;5478;5471;5478;5492;5518;5546;5576;5606;5635;5656;5670;5676;5677;5673;5661;5646;5628;5611;5594;5583;5576;5577;5590;5612;5643;5677;5715;5750;5788;5821;5851;5879;5902;5920;5935;5949;5960;5969;5980;5992;6005;6025;6045;6070;6098;6131;6162;6199;6238;6270;6308;6346;6386;6425;6465;6507;6552;6597;6642;6691;6737;6783;6828;6870;6914;6953;6989;7025;7061;7093;7124;7155;7188;7217;7245;7277;7308;7342;7374;7403;7439;7472;7503;7535;7571;7600;7633;7661;7693;7723;7755;7784;7816;7847;7873;7901;7932;7961;7989;8017;8047;8079;8107;8139;8169;8200;8234;8268;8300;8331;8363;8397;8427;8459;8496;8525;8559;8588;8622;8652;8680;8714;8746;8773;8805;8835;8864;8895;8926;8957;8986;9020;9049;9083;9111;9145;9178;9209;9242;9275;9308;9343;9377;9411;9443;9478;9511;9546;9580;9617;9653;9689;9724;9759;9790;9822;9854;9886;9916;9943;9974;10003;10035;10064;10091;10121;10155;10183;10212;10242;10275;10305;10333;10364;10390;10420;10444;10471;10499;10521;10545;10567;10588;10608;10630;10645;10663;10681;10697;10712;10728;10743;10756;10768;10782;10793;10805;10818;10827;10839;10851;10860;10871;10880;10889;10899;10908;10915;10925;10933;10939;10946;10954;10962;10965;10971;10975;10978;10980;10982;10984;10982;10980;10977;10968;10962;10952;10942;10929;10915;10901;10884;10869;10851;10834;10816;10800;10784;10770;10754;10740;10726;10714;10704;10692;10683;10674;10665;10656;10648;10639;10629;10618;10606;10593;10577;10562;10543
